departure_time,arrival_time,flight_id,aircraft_id,itinerary_no,ticket_no,flight_cost,origin_airport,destination_airport,frequent_flier,travel_date,airplane_model,frequent_flier_no,passenger_name,passenger_country,tail_no,distance,turbulance,temp_at_dept,fuel_consumed_litre,taxi_duration_mins,avg_flight_speed_kmps,engine_performance,passenger_dob,passenger_flight_class
01:49:49,03:27:49,HTY81849,AI453,29336055,SV-69117-BF-977,7218.08,Greenville,Mount Pleasant,False,2022-03-15,BAe 146-100,,Newton,Lebanon,M259QP,3373,1,-10.4,58248.5,76.0,997.3,28009,1974-09-18,executive
17:30:49,18:50:49,RNP40341,AI409,144623475,IH-93680-VD-079,5750.37,Cleveland,Blythe,True,2022-05-16,McDonnell Douglas MD-87,475087SZ,Voncile,Estonia,P376RM,2268,1,-2.2,19701.2,57.0,937.9,18649,1978-10-26,executive
07:41:49,09:13:49,MKO78643,AI429,125203431,UY-10706-UT-379,1765.09,Lansing,Oak Ridge,False,2022-03-27,Airbus A330-200,,Morgan,Malaysia,Q721PR,4866,0,-11.0,66539.3,108.0,1158.9,26090,1975-08-22,executive
14:44:49,15:09:49,API10995,AI269,52595637,KB-01539-BB-514,6784.38,Rio Rancho,Bowling Green,False,2021-07-08,NAMC YS-11,,Rey,Botswana,L595SY,3414,0,5.2,69987.9,72.0,990.8,27715,1989-02-28,business
15:18:49,17:24:49,BTW37016,AI197,184433521,XU-03457-KM-709,7962.13,Temple,Lisle,False,2021-09-15,Antonov AN-72,,Shane,Syria,Z069YD,5401,1,-6.9,60681.6,105.0,1022.1,38152,1976-12-31,executive
08:28:49,09:02:49,LWN81546,AI827,166298495,QA-28078-PZ-840,5515.64,Gloucester,Walnut Creek,False,2021-06-14,Boeing 767-300,,Lonnie,Norway,K758ET,663,7,-5.5,7208.0,100.0,563.7,6083,1994-06-18,premium economy
10:52:49,13:17:49,BJB75461,AI628,179071990,CW-05561-VN-267,693.77,North Little Rock,Fairhope,True,2021-02-08,Boeing 747-200,692764OS,Fe,Afghanistan,C410BR,4787,1,-7.7,58734.4,47.0,1139.2,29944,1994-08-09,premium economy
06:27:49,08:29:49,DTS74418,AI633,84520719,OY-75096-NZ-199,4404.23,Opelousas,Greenbelt,False,2021-03-17,Boeing 727-200,,Shena,Montserrat,I488KD,3364,1,-8.7,55456.5,78.0,975.9,25066,1988-06-30,business
20:19:49,21:58:49,XLV61097,AI271,119626044,GO-31436-GG-110,6758.73,Baldwin,Corona,True,2021-12-31,Dassault Falcon 2000,954512BC,Regan,Christmas Island,C974FJ,5835,0,9.9,57780.3,38.0,1181.6,45778,1984-03-12,business
19:23:49,19:44:49,LYO17398,AI039,45487538,MZ-62327-VY-720,1568.59,Parkersburg,Brockton,True,2021-11-29,Boeing 747SR,583828WV,Kiyoko,Caribbean Netherlands,J561HN,4705,0,1.6,65169.1,69.0,1124.6,29972,1978-03-09,executive
02:45:49,03:19:49,PRE46743,AI763,198490308,BS-66900-YC-869,7780.71,Lufkin,Sedalia,False,2022-01-17,Pilatus PC-12,,Maile,Tajikistan,T767UZ,3760,0,-6.9,67939.4,26.0,981.5,28246,1972-12-28,executive
09:25:49,12:01:49,FLS29640,AI836,143151153,KM-54247-ZH-000,516.74,Mundelein,Atascadero,True,2022-03-29,Aquila A 210,737279AT,Moshe,Papua New Guinea,X768EY,723,7,-11.7,7458.1,72.0,588.7,5263,1984-08-30,business
06:32:49,08:13:49,NXE52985,AI761,165625438,CE-99630-LW-225,6358.89,Dalton,Westerville,True,2022-05-09,Embraer RJ145,032400ZB,Tonita,Micronesia,N988XS,4837,1,3.3,59901.4,92.0,1184.2,26536,1982-12-09,business
13:01:49,15:58:49,HXV75339,AI057,53927430,OI-06789-VR-100,4825.12,Coppell,Keizer,False,2022-04-03,Douglas DC-8-72,,Kamilah,Gabon,B504TM,3502,0,-2.0,63952.1,98.0,925.4,29170,1978-11-07,executive
17:14:49,20:00:49,TJO55630,AI106,161522972,OW-84101-CQ-963,968.1,Pasco,East Peoria,False,2021-12-04,TL Ultralight TL-96 Star,,Lavonia,Bhutan,N035YZ,967,7,-9.9,7132.8,57.0,531.3,6059,1982-07-07,business
01:44:49,01:59:49,SXC67667,AI195,95917307,SN-91514-IB-388,2098.7,Montgomery,Leander,True,2021-12-06,Airbus A300B4,958148UA,Kaci,British Indian Ocean Territory,Y618WO,1868,1,-13.3,18849.9,77.0,803.8,15845,1987-08-05,business
04:51:49,05:18:49,ICG94979,AI735,10533504,QQ-54509-HM-690,2028.7,Thousand Oaks,Mountain Brook,False,2021-02-11,Embraer RJ135,,Rolando,Madagascar,L494YL,4906,0,-10.1,67369.3,91.0,1158.4,26221,1976-03-05,executive
12:46:49,13:12:49,CKM90566,AI384,64297124,ME-87586-ON-651,6022.8,Godfrey,Winter Garden,True,2021-05-20,Boeing 787-9,229483PL,Yahaira,Algeria,C728GH,4890,0,-5.7,69186.3,104.0,1221.0,26378,1989-11-05,business
20:58:49,21:59:49,WED21176,AI072,108488340,CL-10200-KJ-789,4328.5,Blue Island,Vestavia Hills,True,2022-05-25,Boeing 717,782487GW,Dale,Sri Lanka,X269VB,5703,1,-14.9,60159.3,42.0,1043.2,46681,1974-04-27,executive
09:46:49,11:16:49,YXU68625,AI275,189355302,BT-66458-UL-473,1595.92,Cuyahoga Falls,Del Rio,False,2021-01-30,Boeing 747-100 Freighter,,Altha,Taiwan,N680RZ,3396,0,-0.0,65033.1,26.0,934.7,25995,1990-02-19,premium economy
22:16:49,23:49:49,EZL30249,AI670,95769470,WG-82388-HQ-241,2061.25,Mobile,Lancaster,False,2021-11-30,Boeing 747-100 Freighter,,Garnett,St. Lucia,Z507GE,5528,1,-11.2,63540.6,63.0,1069.5,44143,1971-04-30,executive
06:56:49,08:30:49,OMR26996,AI788,40261529,OG-46440-NV-458,535.16,Bonney Lake,Solon,True,2021-05-13,LET 410,165228ZO,Cody,Tristan da Cunha,H010KD,4224,1,0.1,65201.8,70.0,1171.0,29842,1970-09-04,executive
16:21:49,18:06:49,CTJ44428,AI372,44518448,YT-09643-QT-696,5295.26,Carlsbad,Vicksburg,False,2021-05-25,Ilyushin IL18,,Maxwell,Ireland,K418PU,2213,1,-7.9,19924.1,109.0,938.6,15435,1992-11-04,premium economy
18:46:49,19:28:49,PUS34981,AI572,157905698,TE-01633-ES-926,5184.44,Danville,Venice,False,2021-10-04,Airbus A300-600,,Elisa,Bhutan,P526ZP,3090,1,-14.0,41495.7,55.0,983.3,27265,1965-05-31,executive
14:02:49,16:41:49,IRE00186,AI825,27074194,CK-69325-TK-493,2448.07,Broken Arrow,Mequon,False,2021-03-27,Boeing 787-8,,Loan,Wallis & Futuna,F996KL,4645,0,-11.4,67877.0,93.0,1288.3,30936,1981-12-24,business
09:20:49,10:33:49,FEB12345,AI444,30120971,TM-51268-MA-179,2334.15,Parkersburg,Helena,True,2021-03-26,Embraer EMB 120 Brasilia,884450CF,Kerry,Bermuda,C641MB,2227,1,-11.1,19778.5,109.0,933.9,17991,1989-03-17,business
21:58:49,23:25:49,AGC13278,AI920,56336563,HI-92584-MA-041,4072.01,Minot,Napa,True,2022-02-16,Hawker Siddeley HS 748,232485AP,Thersa,Svalbard & Jan Mayen,J492IL,1224,3,-6.4,16253.6,34.0,842.0,16144,1994-01-28,premium economy
22:06:49,23:17:49,WHP16428,AI490,169422564,DX-23034-KV-559,2197.25,Waxahachie,Perth Amboy,True,2022-02-02,Tecnam P2012 Traveller,300918VK,Carline,Northern Mariana Islands,O873VP,1578,0,-7.4,23884.1,21.0,804.9,16231,1990-12-10,premium economy
06:19:49,08:57:49,ZFM72657,AI955,127924090,TB-28195-DX-817,6510.82,Beckley,Wheaton,False,2021-12-27,Antonov AN-32,,Santina,India,C741GK,2391,1,-7.9,18585.9,52.0,942.4,17317,1966-11-17,executive
08:56:49,11:40:49,RAO71269,AI040,26645987,ET-02600-FM-921,1272.85,Hendersonville,South Jordan,False,2021-07-10,Convair CV-580,,Arthur,Malawi,E957HK,2126,1,-10.1,18366.5,55.0,923.4,18872,1986-09-08,business
10:20:49,12:27:49,DIU98341,AI788,162562992,YQ-26794-ND-865,6362.05,Brownsville,Jacksonville,True,2021-05-09,Shorts SC-5 Belfast,386092SV,Wilburn,Lithuania,C774YE,5950,0,0.8,65728.9,106.0,1084.5,46284,1993-02-23,premium economy
19:44:49,22:08:49,JCS31387,AI262,189010017,UF-88212-XC-523,4674.16,Addison,Hendersonville,False,2022-04-19,Ilyushin IL86,,Joey,French Guiana,S647SL,719,8,-13.2,7380.2,87.0,670.4,5367,1982-12-09,business
12:42:49,14:32:49,RLU43904,AI727,61519425,TJ-31669-GJ-456,4874.77,Rolla,Nashua,False,2021-11-16,Boeing 767-200,,Faustina,Chad,Z500NU,3032,1,-5.7,57634.5,67.0,987.8,28905,1975-05-07,executive
17:39:49,19:07:49,QDN39330,AI987,55516376,IW-89387-ET-359,6210.85,Kerrville,Bentonville,True,2022-02-03,De Havilland Canada DHC-5 Buffalo,174850DT,Brett,American Samoa,J663HO,2911,1,-6.1,22544.5,96.0,946.0,26397,1991-11-14,premium economy
05:51:49,08:02:49,AYX14509,AI743,164422606,BM-53425-XM-391,4399.68,Mount Vernon,Brownsville,True,2021-08-13,Tupolev Tu-204,807845ZM,Weldon,Jordan,S358KN,1403,6,-10.6,16538.7,67.0,815.9,12530,1982-05-02,business
20:49:49,22:47:49,UVR25311,AI849,98315127,KC-49320-XE-273,4292.92,Milwaukee,Temple City,False,2021-08-11,Boeing 787-9,,Alexander,French Guiana,P070FG,3618,0,-7.9,56075.2,31.0,942.8,29471,1977-07-19,executive
08:17:49,09:52:49,MAE12368,AI500,91009289,BP-89731-PH-958,2806.21,Chowchilla,Hobart,False,2021-09-20,Gulfstream V,,Ai,U.S. Virgin Islands,N774NK,6136,0,-6.7,58711.8,86.0,1540.7,52706,1975-11-17,executive
05:25:49,07:16:49,LPM69970,AI984,153881094,UV-93636-RQ-931,5530.86,Novato,Oak Forest,True,2021-10-11,Antonov AN-32,526456YY,Russell,Namibia,V743JW,3411,1,-8.1,65490.8,84.0,993.0,25920,1993-06-24,premium economy
22:53:49,01:08:49,ZRL32412,AI917,157002669,YW-89663-FI-948,1189.89,New Berlin,Daytona Beach,True,2022-01-03,Boeing 727-100,181387XY,Edward,Bosnia & Herzegovina,R154DX,767,3,1.3,7298.8,68.0,651.2,6744,1986-10-28,business
22:50:49,00:07:49,MFY72159,AI494,24517860,RG-61235-CU-809,6001.41,LaGrange,Del City,True,2021-12-18,Boeing 747-400F,050627JD,Merrill,Rwanda,A364ME,1148,2,-7.5,16366.6,90.0,821.3,16784,1992-08-24,premium economy
03:35:49,03:54:49,WDR16264,AI983,79232432,JM-68918-ZZ-891,2888.59,North Augusta,San Jacinto,False,2022-04-15,Antonov AN-26,,Darron,Mauritius,Q301JL,680,2,-2.1,7207.1,91.0,648.6,6057,1989-01-23,business
09:33:49,11:18:49,OWA33572,AI943,21556544,TH-97863-WR-523,5479.95,Flint,Cathedral City,False,2021-08-17,Airbus A300-600,,Erasmo,Guyana,B700ZL,1487,3,-7.2,14905.4,93.0,841.7,16420,1992-10-12,premium economy
18:10:49,20:08:49,IYY49238,AI794,15930896,CF-30396-DW-707,4272.98,Baldwin Park,New York,True,2022-01-18,Cessna Citation Sovereign,965887FS,Rod,Mongolia,U211NE,527,7,-13.6,7433.9,80.0,556.6,5603,1976-03-24,executive
07:22:49,08:09:49,OJU32537,AI546,154345798,QZ-19379-NH-988,2959.08,Tuscaloosa,Logan,True,2022-03-01,Embraer Legacy 600,749747BZ,Cyril,Ukraine,R835EB,2773,0,-6.6,24179.4,74.0,936.0,27396,1982-03-22,business
00:36:49,01:45:49,JHR97383,AI465,155592606,PV-75039-BP-196,1280.92,Grandview,Champlin,True,2021-09-24,De Havilland DH.104 Dove,699047WP,Alexander,Algeria,R309HV,1609,0,-13.1,26973.8,107.0,836.2,15912,1966-05-02,executive
05:12:49,07:40:49,SWV41438,AI621,73732341,ZD-12336-FH-741,5019.81,Kettering,Vancouver,False,2021-10-31,Airbus A330-800neo,,Genevie,Aruba,Z273QG,1698,1,8.7,21594.0,76.0,814.2,11208,1983-05-14,business
10:04:49,10:17:49,LSA76493,AI034,44650633,OW-78332-ZJ-941,3784.02,Sevierville,Coalinga,False,2021-07-09,Embraer Legacy 500,,Serita,Albania,W148RR,2451,1,-14.9,18201.2,53.0,916.4,19889,1966-09-08,executive
21:23:49,23:16:49,JDH80777,AI510,37598565,UC-21222-SD-184,2497.31,Huntley,Toledo,False,2022-03-26,Tecnam P2010,,Jon,Netherlands,S218ZZ,5310,0,4.7,56652.2,105.0,1191.1,38002,1986-11-06,business
11:38:49,14:33:49,JYA00843,AI415,139769574,AX-31956-VZ-171,3668.38,Marquette,Oak Lawn,True,2021-06-19,Antonov An-148,294800TU,Sergio,Burundi,Z761VW,846,6,4.7,7206.8,98.0,718.1,7766,1988-02-22,business
19:15:49,22:07:49,UGU63710,AI880,113316980,OV-89685-IT-370,3453.8,Wheeling,Carson City,False,2022-03-15,Embraer Legacy 600,,Cory,Christmas Island,O408CI,3913,1,6.7,68559.2,50.0,939.1,26098,1972-10-30,executive
09:57:49,12:37:49,DRT01495,AI023,30770311,MB-86891-RM-057,601.63,Rialto,Hammond,False,2021-10-27,Mitsubishi Mu-2,,Hee,Mexico,L094HZ,2723,1,-13.7,24563.2,76.0,929.5,23610,1966-12-01,executive
13:32:49,14:24:49,QND53745,AI640,195522027,PT-68317-ZJ-612,3111.3,Santa Fe,Harrisonburg,False,2021-02-18,Ilyushin IL62,,Jacques,Uzbekistan,Z229TV,4209,0,2.8,62211.9,24.0,1005.7,30576,1967-10-20,executive
06:47:49,08:59:49,LUI49508,AI092,138358423,CF-00581-MP-908,6722.51,Cape Girardeau,Eagle Mountain,True,2022-06-04,Boeing 787-10,488896BU,Adelle,Azerbaijan,K850GV,1677,0,7.2,27888.6,75.0,840.5,12682,1991-06-04,premium economy
01:36:49,04:14:49,ZXU79932,AI443,188133713,ZH-27000-DP-360,6335.17,Garland,Chino,True,2021-03-22,Bombardier Global Express,994868QH,Ileen,Saudi Arabia,U531PR,3157,1,-14.3,40537.6,21.0,968.3,29568,1995-11-08,premium economy
14:53:49,15:11:49,AHD15822,AI791,113540051,RA-78850-IW-326,7860.09,Sugar Land,Wyoming,False,2022-05-30,De Havilland Canada DHC-8-400 Dash 8Q,,Julienne,Marshall Islands,P348ME,6326,1,-11.2,68725.9,68.0,1755.5,58617,1977-06-26,executive
21:17:49,22:04:49,AFQ74477,AI693,56116624,RN-84685-JN-688,7348.83,Yukon,Hot Springs,True,2021-05-25,LET 410,081756YT,Willetta,Bermuda,O379ZI,3568,0,-15.0,56969.3,87.0,994.4,27306,1982-04-19,business
23:43:49,00:55:49,RWN85723,AI646,54344901,ZR-25619-KY-244,3219.56,Fargo,Palm Coast,False,2022-02-10,Embraer RJ135,,Lacy,China,O879CO,4242,0,-11.3,59562.4,91.0,1202.7,30779,1970-12-08,executive
08:56:49,10:04:49,RXH04387,AI040,96747438,KO-43735-JX-081,5019.8,Greenbelt,Biddeford,False,2021-05-18,Pipistrel Virus,,Quiana,Uzbekistan,C278RW,3865,1,-12.7,55305.9,65.0,971.5,28763,1983-01-20,business
08:31:49,10:17:49,EMQ77665,AI960,139226239,KC-21903-XN-160,7395.58,Great Falls,Hagerstown,False,2021-03-31,Gulfstream/Rockwell (Aero) Turbo Commander,,Benton,Hong Kong SAR China,H957KJ,2818,0,-11.4,24856.4,61.0,933.8,25640,1969-03-25,executive
20:30:49,22:09:49,OTP61874,AI743,155847243,YU-78492-VL-864,2332.11,Coral Gables,Cortland,False,2022-05-30,BAe 146-200,,Mozella,Poland,F848NA,960,3,-13.0,7096.8,60.0,600.7,7042,1975-07-20,executive
20:57:49,23:37:49,VNC15539,AI607,101575723,WW-09378-GC-673,7355.53,Del Rio,Walnut,True,2021-05-07,Boeing 747-200,530541OD,Allyn,St. Vincent & Grenadines,O181VM,4688,0,1.2,57006.6,42.0,1097.6,24442,1979-03-01,executive
09:30:49,11:36:49,JVK83462,AI406,163105191,YM-96611-NN-251,4009.59,Battle Creek,Newark,True,2021-07-26,Embraer EMB 110 Bandeirante,066906CL,Carmelo,Angola,J987PS,3115,1,-12.1,43618.0,76.0,957.1,27972,1987-04-16,business
14:55:49,16:54:49,KFW09129,AI373,172975450,OP-40430-NK-266,7312.79,Campbell,Coral Gables,True,2021-11-29,Boeing 777-300ER,547341PE,Vena,Latvia,Z065TV,4901,0,-11.3,55583.5,31.0,1067.5,30646,1979-04-19,executive
08:56:49,10:36:49,SXC27510,AI460,45604504,VL-64840-XW-817,3334.64,Yuma,Ithaca,False,2022-05-22,Boeing 767-300,,Shani,Barbados,M527BQ,5136,0,0.3,65326.4,111.0,1359.2,36942,1983-08-03,business
16:04:49,17:22:49,OLR45158,AI879,142577025,AJ-46840-DS-841,6974.62,Watsonville,Brownwood,True,2022-03-19,Airbus A380-800,484839LB,Spring,Sint Maarten,S894SG,1923,1,-11.3,28873.1,23.0,805.0,16106,1990-02-23,premium economy
01:56:49,04:30:49,TMO67847,AI098,181233244,RR-17372-JN-029,4319.83,Xenia,Solon,False,2021-09-26,Ilyushin IL18,,Monserrate,Belize,A725LV,896,2,-10.1,7128.4,84.0,583.9,6478,1985-08-28,business
22:03:49,00:10:49,PWK85172,AI985,136494014,FZ-00580-PQ-988,5981.66,Greenfield,Chester,True,2021-06-27,Gulfstream IV,391100JL,Aaron,Czech Republic,W718AF,951,8,-5.8,7421.2,109.0,514.8,6344,1995-09-12,premium economy
13:01:49,15:23:49,HYV72232,AI154,86932592,IS-82982-EP-246,6797.4,Arcadia,SeaTac,True,2021-11-01,Gulfstream/Rockwell (Aero) Turbo Commander,326054DR,Pasty,United Kingdom,C039UK,675,3,-1.7,7278.3,85.0,563.1,5815,1965-03-27,executive
15:14:49,15:55:49,UQO33474,AI390,130085262,PJ-37155-HY-549,4757.24,Corinth,New Braunfels,True,2021-08-14,Airbus A310-200,333849VP,Cayla,Montserrat,T708YV,5901,0,6.9,59726.7,18.0,1182.3,41488,1965-12-22,executive
08:26:49,10:24:49,YUC69676,AI491,64252450,VD-31400-VH-495,2988.31,Kingston,Millville,True,2022-02-28,Airbus A310-200,905501SB,Keenan,Greenland,H185QQ,3804,1,-12.4,60399.1,72.0,902.4,28321,1969-12-01,executive
15:08:49,16:58:49,HVB89415,AI180,27535984,DF-60941-UQ-438,1051.81,Mount Juliet,Vineland,False,2021-03-23,Boeing 717,,Salvatore,South Korea,S277XN,4489,0,-10.5,63636.7,53.0,1007.7,26073,1976-06-27,executive
18:07:49,18:51:49,ZEC68699,AI803,116316541,JS-64232-OY-883,5935.11,Linden,Irvine,False,2021-11-28,Douglas DC-9-50,,Stacy,Malaysia,O671IF,4869,0,-13.6,67806.1,104.0,1117.0,28172,1977-12-12,executive
06:43:49,08:01:49,YEY91541,AI371,85892669,PS-76855-US-540,4456.82,Alton,Glenview,True,2021-12-14,McDonnell Douglas MD-81,807817OB,Talitha,Latvia,Q775UL,3218,0,-10.3,44078.1,106.0,995.3,27376,1965-11-02,executive
13:19:49,13:58:49,LZL62149,AI005,152726304,JI-32884-AO-850,7662.57,Minot,Port Arthur,True,2021-08-30,Airbus A340-500,901334FO,Vance,St. Vincent & Grenadines,T374BD,1767,0,-11.2,25202.6,68.0,815.7,14374,1967-03-30,executive
04:38:49,06:03:49,GOX02578,AI685,26687743,FH-75773-ME-497,1380.81,Calabasas,Green,False,2021-03-11,McDonnell Douglas MD-83,,Gricelda,Botswana,E488SA,773,8,4.4,7207.0,67.0,549.8,5080,1992-11-21,premium economy
14:54:49,15:37:49,ZTP09393,AI253,128999696,PQ-40803-IR-807,3020.56,Copperas Cove,San Juan Capistrano,True,2022-03-19,Cessna Citation Sovereign,833216AB,Reed,Sint Maarten,D430ZF,3111,0,4.5,52859.9,22.0,959.5,25954,1987-04-12,business
14:35:49,14:52:49,EVE02620,AI035,187422257,UI-93256-CW-393,6300.63,Trotwood,Juneau,True,2022-05-15,Convair CV-580,247547FJ,Anton,Moldova,W513EZ,3503,0,-14.4,55170.8,79.0,961.9,27929,1991-08-26,premium economy
11:26:49,13:10:49,KSZ18345,AI098,95306690,EK-84046-XH-918,4801.36,Valparaiso,El Reno,False,2022-02-18,Boeing 747-8F,,Tonette,Northern Mariana Islands,B237MT,1551,0,6.5,22054.9,116.0,838.1,17042,1992-12-27,premium economy
02:34:49,04:06:49,QUQ64551,AI507,95046575,PR-15901-CE-723,5779.78,Grand Rapids,Huntersville,False,2021-06-30,Curtiss C-46 Commando,,Raleigh,French Southern Territories,T929PP,2507,0,-8.3,23812.6,46.0,908.2,21733,1971-06-15,executive
22:35:49,01:30:49,QIB39705,AI394,102862938,DS-65758-TF-737,4193.64,Burlington,Redding,False,2021-10-28,Dassault Falcon 7X,,Alysha,Bermuda,N618SV,692,7,-5.6,7092.8,28.0,512.6,7127,1992-08-19,premium economy
10:16:49,13:08:49,ALM61982,AI299,62364013,UJ-59648-VC-746,3667.86,Calumet City,Champaign,False,2021-04-16,Embraer RJ135,,Shin,Togo,G510CM,4739,0,8.6,61630.1,116.0,1049.5,26507,1969-03-16,executive
23:54:49,00:39:49,HEH82221,AI417,51784540,QH-96032-AE-892,796.39,Trenton,Iowa City,True,2021-05-10,Canadair Regional Jet 900,243675UF,Terry,Timor-Leste,I706UJ,3913,0,-1.6,61467.3,19.0,935.5,25908,1970-03-13,executive
03:46:49,06:02:49,UQL06680,AI885,73316083,CP-40215-AW-072,5869.14,Indian Trail,McAllen,False,2021-12-23,Airbus A330-200,,Yi,Luxembourg,J586VI,2747,1,-12.3,23454.4,37.0,906.1,19170,1972-02-14,executive
21:04:49,22:21:49,SXA66816,AI705,134653262,FJ-66399-DQ-943,2610.78,Clarksdale,Albuquerque,False,2021-10-20,Cessna 310,,Maile,Chad,T993LW,6092,1,-7.8,64394.9,19.0,1779.9,59930,1991-12-31,premium economy
19:41:49,20:51:49,KAL34385,AI309,68801587,WM-27068-TK-434,5666.77,North Lauderdale,Fullerton,True,2022-05-26,Lockheed L-1049 Super Constellation,079247CF,Edmund,Grenada,Y702RD,3488,1,-13.0,63728.6,36.0,951.0,27168,1966-12-06,executive
00:24:49,01:36:49,QOE67717,AI712,155804586,KD-75566-BT-866,6478.33,Bentonville,Kearny,False,2021-04-25,Tupolev Tu-154,,Dante,United Kingdom,W419HT,3969,1,-6.8,59866.0,48.0,979.6,26267,1978-03-26,executive
07:09:49,09:09:49,NEC66028,AI179,38546818,GW-63071-ZJ-219,1997.61,Aurora,Port Hueneme,False,2022-06-06,De Havilland Canada DHC-5 Buffalo,,Tonie,Italy,V182JQ,5592,1,-5.5,55191.6,76.0,1346.3,44152,1967-10-27,executive
20:43:49,22:03:49,VEX55979,AI989,157466981,DO-47435-VJ-376,3599.65,Bonney Lake,Selma,False,2021-02-02,Canadair Regional Jet 700,,Rodney,Norfolk Island,G667FC,871,3,-6.1,7159.6,17.0,711.1,6620,1976-07-24,executive
05:36:49,08:29:49,NWS06328,AI700,111009249,WM-69129-SN-933,6879.51,Amarillo,Michigan City,True,2022-06-01,Boeing 747 LCF Dreamlifter,649402AN,Everett,Luxembourg,S657QI,3629,1,-8.9,59197.0,108.0,930.5,28240,1989-05-12,business
00:00:49,02:06:49,DHF02263,AI561,152896796,GY-41021-YW-727,5469.25,Raymore,Chelsea,False,2021-02-10,Partenavia P.68,,Lamar,Guinea-Bissau,F394OB,4178,0,-5.7,60538.0,77.0,1164.2,29724,1972-02-12,executive
21:54:49,23:05:49,KIV30340,AI815,153640813,MD-29851-TB-014,3785.11,Lima,Mountain View,False,2022-04-21,Embraer 175,,Alysa,Nauru,Q141YE,4788,0,-14.7,61856.1,60.0,1353.7,26893,1973-11-21,executive
09:16:49,10:59:49,OOC58810,AI962,59111675,BG-71287-FY-880,774.5,Highland Park,Altus,True,2021-05-13,Embraer RJ145,177105BY,Jonah,Russia,E260JZ,3473,1,-7.8,66063.6,62.0,988.5,25687,1971-03-11,executive
21:17:49,22:27:49,HUG30417,AI659,134557592,FZ-27232-KB-464,452.51,San Rafael,Dallas,False,2022-05-08,Boeing 737-300,,Fe,Austria,B288XI,4618,1,-9.3,60204.2,51.0,1088.8,29554,1973-06-04,executive
08:13:49,10:32:49,RVV51063,AI879,191020121,YE-27916-HT-987,3254.02,Waynesboro,Lawrenceville,False,2021-02-20,Curtiss C-46 Commando,,Keturah,Haiti,Z029XH,1747,0,3.9,21554.8,53.0,833.6,13570,1984-03-10,business
