applicant_id,applicant_name,applicant_gender,applicant_dob,applicant_country,applicant_qual_test_score,applicant_high_school_GPA,scholarship_grade,scholarship_pct,interview_date,interview_score,admission_date,institute_ids,course_name
200014,Gilbert,Male,2004-05-18 14:10:11.002632,Liberia,557.31,6.1,J,35.0,2015-03-16,78.45,2019-05-28 13:55:59.763231,NNNS701,Arts
200015,Tonda,Male,2005-11-30 21:20:54.368189,Tristan da Cunha,875.31,8.7,C,70.0,2015-05-05,78.2,2015-05-14 14:07:51.738948,EUUU333,International Business
200016,Donnette,Female,2003-08-25 12:37:09.851772,Dominica,735.68,8.2,H,45.0,2025-09-15,75.88,2019-09-24 20:43:24.352721,NSII775,Business Adm
200017,Myrl,Male,2010-06-22 12:39:01.635161,Seychelles,576.99,5.8,J,35.0,2020-10-27,85.82,2018-08-05 21:31:54.159387,ITIT738,Electrical Engg
200018,Mirella,Other,2002-04-07 18:16:51.686716,Antigua & Barbuda,527.56,8.1,J,35.0,2017-02-18,95.47,2016-09-02 11:10:39.622166,TINT734,Civil Engg
200019,Val,Other,2003-01-21 04:47:44.783298,Kiribati,636.59,6.0,J,35.0,2024-08-14,78.29,2021-07-12 09:50:23.018181,TNNS787,Environmental Sc
200020,Marya,Other,2004-09-16 04:10:49.214965,Myanmar,921.05,8.6,B,78.0,2024-01-30,75.11,2021-02-07 01:33:50.329648,MMRA230,International Business
200021,Sherril,Other,2002-03-05 23:41:57.406851,Egypt,566.72,8.5,J,35.0,2023-09-04,94.97,2019-08-24 05:20:14.891808,SITT707,Philosophy
200022,Lesia,Other,2007-01-09 16:26:20.942580,Brunei,740.13,9.1,H,45.0,2023-08-14,95.18,2016-05-27 13:26:09.011709,NTII737,Linguistics
200023,Dodie,Other,2008-10-02 05:29:22.561998,Kyrgyzstan,950.22,8.4,A,80.0,2022-09-23,94.5,2022-02-08 01:53:26.922339,ANAN131,International Business
200024,Malorie,Male,2006-08-29 14:55:25.620826,Tokelau,644.36,5.4,J,35.0,2024-02-09,75.68,2025-09-12 21:39:48.453257,INSI792,Journalism
200025,Hal,Male,2000-11-07 22:26:48.034151,Montserrat,742.67,7.9,H,45.0,2016-04-22,80.15,2022-01-07 13:10:46.170488,SSSN781,Finance
200026,Milan,Female,2001-12-01 13:13:31.734600,Guatemala,623.5,5.3,J,35.0,2016-06-17,85.96,2021-02-21 19:27:52.336798,STNS754,Finance
200027,Marin,Female,2006-12-27 16:49:50.342388,Samoa,776.38,7.9,G,50.0,2022-03-08,70.92,2018-12-25 08:06:14.224318,NNNS789,Arts
200028,Danny,Other,2009-03-22 11:15:07.836242,Luxembourg,756.19,6.2,H,45.0,2022-07-20,79.79,2018-04-09 11:41:24.745696,STTT715,Environmental Sc
200029,Alex,Male,2005-11-22 13:24:36.972989,South Georgia & South Sandwich Islands,757.41,6.8,G,50.0,2020-09-10,84.94,2022-03-10 08:12:13.514725,INTI799,Business Adm
200030,Perry,Male,2000-07-17 00:45:16.468312,Central African Republic,823.42,5.5,J,35.0,2024-10-30,95.45,2018-06-17 22:26:48.043247,SSTI718,Philosophy
200031,Arletta,Female,2003-01-16 13:30:41.654317,Serbia,983.02,5.3,J,35.0,2020-11-27,82.94,2023-01-06 00:43:49.372317,TNNT703,Computer Engg
200032,Demetrius,Male,2001-02-17 11:09:42.694266,Norfolk Island,599.21,9.8,J,35.0,2018-02-18,94.15,2023-01-12 14:16:37.621865,TINN734,Environmental Sc
200033,Klara,Male,2009-05-05 11:35:16.121432,Aruba,951.36,7.4,A,80.0,2016-06-17,70.15,2023-03-01 16:35:08.295723,ANDI184,Computer Engg
200034,Marlon,Male,2002-02-01 18:37:34.466349,Spain,557.79,9.7,J,35.0,2020-08-20,85.29,2021-03-05 15:54:04.717984,SSIN755,Psychology
200035,Randall,Other,2008-01-02 04:12:50.450160,Bahrain,838.02,7.0,G,50.0,2021-03-05,79.4,2024-12-20 17:18:42.982278,STIN791,Psychology
200036,Charise,Female,2005-02-07 07:18:18.096807,Rwanda,841.54,5.5,J,35.0,2019-01-08,80.25,2017-12-13 14:40:31.156907,NSIN733,Linguistics
200037,Rolland,Other,2002-05-10 21:22:27.032729,Pakistan,729.81,9.2,H,45.0,2017-11-06,76.7,2015-09-27 15:28:19.235389,NTSN799,Civil Engg
200038,Willena,Other,2003-08-20 04:02:21.880946,Poland,896.14,9.6,C,70.0,2024-04-08,88.66,2018-07-08 23:40:25.925364,EURR391,Linguistics
200039,Merri,Other,2003-12-06 13:01:18.116338,Kyrgyzstan,982.63,7.0,G,50.0,2016-08-08,70.71,2024-03-24 16:30:29.807258,NSIS724,Electrical Engg
200040,Elliot,Female,2010-02-02 14:17:17.948011,Uzbekistan,583.39,7.1,J,35.0,2015-07-01,98.66,2018-08-19 18:58:18.107197,ITTI799,Electrical Engg
200041,Maurita,Female,2009-02-13 11:49:16.728082,Algeria,943.9,7.4,B,78.0,2022-01-14,72.46,2019-08-03 09:37:19.965832,EMRA280,Journalism
200042,Linwood,Female,2002-08-27 05:26:28.964500,Martinique,701.55,8.2,H,45.0,2022-11-26,70.37,2018-09-30 10:22:34.729565,STII731,Finance
200043,Carl,Female,2008-10-21 20:54:51.481623,Bulgaria,970.76,9.8,A,80.0,2021-04-25,72.87,2022-10-30 01:35:19.613456,NINI142,Psychology
200044,Tayna,Male,2008-05-31 11:33:58.766153,Slovenia,840.59,9.4,E,60.0,2024-03-13,83.37,2015-10-30 14:47:41.750892,ASAM523,Environmental Sc
200045,Ayesha,Other,2002-04-19 21:07:08.202905,Madagascar,571.65,6.1,J,35.0,2016-04-16,73.66,2022-12-08 23:34:33.556746,ITIS741,Journalism
200046,Lavonna,Female,2005-05-07 06:53:33.869981,Cyprus,734.05,8.9,H,45.0,2020-12-30,95.6,2023-10-05 06:50:58.752480,TNSI722,Computer Engg
200047,Leigh,Female,2000-06-12 14:27:04.390382,Brazil,620.49,5.3,J,35.0,2019-04-06,88.32,2017-01-12 21:22:33.761242,SNTN790,Journalism
200048,Carli,Other,2003-09-22 04:57:18.968562,Equatorial Guinea,835.72,5.8,J,35.0,2022-04-12,74.18,2020-11-09 03:00:08.762733,NTIT794,International Business
200049,Sharda,Female,2005-01-25 12:44:18.174310,Laos,734.15,7.7,H,45.0,2023-10-04,86.82,2016-07-09 23:19:48.549158,SNSS753,Aerospace Engg
200050,Jeffrey,Other,2006-10-30 07:21:21.622984,Western Sahara,524.1,9.8,J,35.0,2020-03-24,94.66,2025-02-17 14:24:12.764167,INIT726,Journalism
200051,Mitsuko,Female,2010-06-22 13:40:45.956006,Zambia,920.98,7.8,B,78.0,2016-11-04,79.86,2019-07-25 16:24:40.495745,MMAE235,Aerospace Engg
200052,Weston,Male,2004-01-08 12:14:32.841260,Cameroon,980.8,7.3,A,80.0,2019-01-12,76.18,2023-09-10 21:42:44.357385,DIII116,Environmental Sc
200053,Laurence,Other,2008-04-13 07:53:04.046709,Dominica,616.44,5.9,J,35.0,2021-02-08,81.15,2021-01-15 17:09:39.914534,STTS711,Computer Engg
200054,Harold,Other,2010-01-28 21:14:54.697705,Sri Lanka,814.01,8.4,E,60.0,2019-10-07,70.02,2024-01-18 22:25:51.021459,AARR540,Civil Engg
200055,Oscar,Male,2003-10-23 22:55:38.364232,Antigua & Barbuda,891.1,8.4,C,70.0,2025-12-03,78.07,2023-05-19 06:52:15.880799,URER345,Computer Engg
200056,Jadwiga,Male,2004-03-30 14:15:09.701839,Singapore,617.41,6.5,J,35.0,2025-01-14,71.06,2022-04-06 03:08:34.252668,NNTS781,Arts
200057,Anjelica,Other,2008-09-13 18:35:53.329504,Niger,826.71,6.1,H,45.0,2025-12-30,80.28,2024-01-24 11:27:16.056843,SNNN772,Finance
200058,Rickey,Other,2002-09-16 02:25:55.881111,Congo - Kinshasa,785.12,8.4,G,50.0,2018-03-21,93.45,2025-01-09 18:30:16.935136,TNNI731,Philosophy
200059,Alvin,Other,2004-06-16 11:00:52.665267,Peru,780.74,6.9,G,50.0,2023-06-18,78.57,2022-10-15 03:14:05.083677,IIIT709,Linguistics
200060,Hipolito,Other,2001-10-25 07:32:30.691196,Mayotte,726.4,8.8,H,45.0,2018-07-03,98.2,2019-01-18 10:57:54.410745,NTTS712,Business Adm
200061,Jeanmarie,Male,2003-12-09 03:11:38.516411,French Southern Territories,965.41,9.9,A,80.0,2016-10-18,91.23,2015-12-05 20:08:03.995946,IAAD168,Arts
200062,Olimpia,Male,2008-07-06 13:49:02.668908,Antarctica,621.46,8.4,J,35.0,2019-01-05,82.79,2022-11-21 15:50:36.892402,IINS735,Civil Engg
200063,Oretha,Female,2007-05-22 19:29:19.190920,Ghana,511.08,9.8,J,35.0,2021-01-18,70.93,2020-10-14 17:34:56.894757,TNNI719,Philosophy
200064,Lon,Other,2001-06-17 14:33:00.753068,Bermuda,590.72,9.1,J,35.0,2018-04-02,96.73,2021-11-22 03:23:11.341296,TNNS736,Computer Engg
200065,Madison,Other,2009-01-11 06:43:48.368282,Solomon Islands,606.92,7.5,J,35.0,2024-07-13,84.11,2025-01-15 04:06:58.366965,TINT730,Finance
200066,Jaye,Male,2007-11-28 14:41:50.998284,Kyrgyzstan,981.53,5.6,J,35.0,2015-11-21,82.06,2024-03-17 09:19:58.304778,NITS757,Journalism
200067,Karena,Female,2008-09-27 14:38:18.031637,Ecuador,910.69,5.6,J,35.0,2020-07-13,88.34,2021-06-13 09:58:58.770384,NTIS770,Electrical Engg
200068,Edyth,Female,2006-03-08 07:38:27.558497,Seychelles,894.38,7.5,D,65.0,2025-05-25,75.86,2017-11-24 07:35:18.323079,JPAA488,Journalism
200069,Gwenda,Male,2002-08-12 10:46:09.584916,El Salvador,752.03,5.7,J,35.0,2018-10-23,80.19,2020-12-09 19:57:24.563355,INIS747,Philosophy
200070,Veola,Other,2001-01-03 17:00:38.291734,Samoa,753.53,7.9,G,50.0,2016-07-03,83.74,2023-07-28 20:45:23.110361,SNTI749,Finance
200071,Edwardo,Male,2007-10-14 01:48:02.893910,São Tomé & Príncipe,957.65,7.8,A,80.0,2024-02-23,98.32,2023-06-06 16:21:46.475484,IIND108,Journalism
200072,Karl,Other,2008-04-14 17:30:55.849719,Uganda,991.2,7.7,A,80.0,2020-02-04,86.19,2025-02-20 06:52:31.812853,NNIA146,Computer Engg
200073,Refugio,Male,2000-01-09 05:56:24.726704,Niger,646.9,5.2,J,35.0,2020-04-20,75.68,2018-02-14 21:54:11.690926,NTII728,Civil Engg
200074,Xavier,Male,2000-04-03 04:01:20.084956,Brunei,609.33,7.3,J,35.0,2025-08-20,77.89,2016-08-27 16:04:13.964109,INSS748,Arts
200075,Ronny,Male,2000-09-06 11:41:36.927855,U.S. Virgin Islands,869.94,5.2,J,35.0,2024-08-22,88.45,2016-08-18 20:08:16.912869,IISN706,Finance
200076,Dannie,Female,2010-05-03 15:23:22.374575,St. Lucia,931.7,7.9,B,78.0,2018-12-01,82.07,2024-10-26 17:49:17.254638,MMAM245,Aerospace Engg
200077,Cole,Male,2003-04-07 22:53:52.011463,St. Helena,778.4,8.3,G,50.0,2016-11-07,96.94,2020-06-29 06:16:25.305748,SINN768,Philosophy
200078,Gidget,Other,2003-09-04 16:03:12.244320,Norway,872.1,8.2,C,70.0,2024-05-02,70.03,2021-06-24 11:23:09.906509,EEEU371,Linguistics
200079,Darren,Other,2003-02-22 19:35:34.729849,Hong Kong SAR China,978.9,7.3,A,80.0,2025-02-13,79.99,2020-06-25 17:55:36.327369,DIDI104,Business Adm
200080,Jc,Male,2010-01-14 19:49:47.524190,Bahrain,650.08,6.7,J,35.0,2022-08-06,77.35,2024-02-04 21:11:50.516413,STSI739,Philosophy
200081,Prince,Other,2009-11-25 18:30:51.970413,Japan,606.66,9.1,J,35.0,2017-04-05,83.99,2022-02-14 00:56:46.963600,INTN731,Electrical Engg
200082,Benton,Other,2000-02-24 07:10:00.463447,Czech Republic,602.16,9.0,J,35.0,2016-01-17,86.55,2019-12-30 21:37:28.035038,ISIN717,Arts
200083,Drucilla,Other,2002-06-04 10:02:10.638644,El Salvador,977.72,5.5,J,35.0,2015-10-28,83.62,2016-02-09 02:45:01.713981,IISI771,Psychology
200084,Dagny,Male,2003-09-06 18:10:28.186716,Iraq,510.4,5.1,J,35.0,2017-03-30,76.96,2019-06-26 14:54:25.087992,NINS732,Psychology
200085,Dione,Male,2007-08-20 08:28:55.575773,Trinidad & Tobago,620.27,9.3,J,35.0,2017-06-05,77.13,2024-03-29 17:10:40.015053,INII750,Electrical Engg
200086,Dion,Female,2001-07-27 04:45:29.551527,Myanmar,776.85,7.8,G,50.0,2021-07-11,77.22,2020-10-08 17:20:04.375261,TTSN782,Philosophy
200087,Sharice,Male,2005-11-20 06:07:20.255508,Pitcairn Islands,811.43,9.2,E,60.0,2017-08-17,75.99,2016-12-06 03:32:54.836894,ASMS595,Electrical Engg
200088,Dirk,Other,2010-02-14 08:15:16.903050,Moldova,776.82,9.0,G,50.0,2025-02-14,71.13,2017-03-28 11:46:25.150282,NSTI745,Philosophy
200089,Carmina,Female,2003-02-17 21:20:22.241144,Cyprus,913.83,5.3,J,35.0,2015-06-25,73.19,2015-07-29 13:06:41.918480,IIIN742,Civil Engg
200090,Alfonzo,Other,2010-10-08 02:11:26.451113,Honduras,821.44,7.3,F,55.0,2025-07-12,89.34,2017-01-18 04:35:05.332207,GGIG652,Aerospace Engg
200091,Jewell,Male,2001-01-16 17:42:37.096703,Fiji,963.44,5.1,J,35.0,2025-10-15,74.26,2023-03-05 19:10:41.867801,NSIN727,Civil Engg
200092,Layla,Other,2009-02-09 14:58:26.128466,United Arab Emirates,519.28,8.0,J,35.0,2019-01-15,83.82,2020-04-19 13:55:52.474658,TSII787,Psychology
200093,Hwa,Female,2006-07-12 15:51:14.115310,Monaco,951.68,5.5,J,35.0,2024-12-20,97.05,2025-12-15 05:15:32.399306,INTN717,Linguistics
200094,Hershel,Female,2003-12-18 02:39:38.292822,Andorra,882.76,9.2,C,70.0,2016-01-31,72.63,2018-11-29 10:36:52.010157,RUUR340,Psychology
200095,Corrinne,Other,2009-06-28 09:55:16.830442,Gabon,567.98,9.6,J,35.0,2015-08-13,82.95,2018-09-26 18:17:12.312428,NIIT733,Computer Engg
200096,Mandie,Male,2010-08-27 11:02:52.163681,Morocco,804.18,8.5,E,60.0,2023-10-19,94.63,2024-06-14 01:44:38.981066,MARM531,Psychology
200097,Walton,Male,2000-05-26 10:27:23.128168,Hong Kong SAR China,893.58,5.8,J,35.0,2016-11-01,96.71,2016-11-09 13:52:32.887489,TITS800,Computer Engg
200098,Joane,Male,2009-09-17 06:49:36.095603,Armenia,804.46,7.0,G,50.0,2021-07-19,81.7,2019-10-20 08:20:55.997997,ITST706,Linguistics
200099,Jackelyn,Other,2009-06-07 04:35:06.557302,Comoros,870.62,5.9,J,35.0,2018-01-09,75.91,2020-12-25 07:08:36.043615,INSI754,Linguistics
200100,Yi,Female,2008-07-03 16:09:13.151313,Moldova,678.44,8.0,J,35.0,2024-12-22,97.79,2021-10-17 16:00:30.540458,SIII749,Arts
200101,Landon,Male,2002-11-06 17:55:28.508148,Palestinian Territories,904.99,5.3,J,35.0,2016-10-18,79.12,2024-11-08 02:32:07.883250,IITT730,Aerospace Engg
200102,Georgann,Female,2007-03-26 18:42:22.223247,Faroe Islands,981.78,10.0,A,80.0,2018-05-11,73.64,2018-06-18 11:59:34.099299,DIIA189,Arts
200103,Jamaal,Male,2001-08-18 04:03:56.110915,Greece,924.5,5.1,J,35.0,2023-12-02,77.89,2020-07-21 20:36:24.869657,SSSI710,Civil Engg
200104,Roberto,Male,2005-11-30 00:33:45.628993,Panama,837.68,5.8,J,35.0,2020-06-08,85.45,2019-01-25 09:21:31.688041,NITS791,Journalism
200105,Laticia,Male,2001-04-11 13:13:31.587717,Romania,546.92,5.4,J,35.0,2021-09-20,91.51,2020-09-07 22:12:22.178714,STST799,Civil Engg
200106,Phil,Male,2001-02-11 14:45:29.508913,St. Helena,586.39,6.6,J,35.0,2024-06-05,73.96,2017-07-28 04:11:24.706375,SNSN746,International Business
200107,Victor,Female,2003-12-08 14:07:27.775640,Ceuta & Melilla,821.53,6.7,G,50.0,2023-02-16,94.5,2022-03-27 05:57:34.999632,SNST798,International Business
200108,Reiko,Female,2009-04-27 08:47:14.586384,Mozambique,551.06,6.7,J,35.0,2018-05-21,96.67,2018-02-03 22:38:32.909078,NITS793,Linguistics
200109,Jaleesa,Male,2001-08-30 15:18:46.562441,Uruguay,897.27,8.2,C,70.0,2021-04-26,93.13,2015-01-05 16:52:47.791592,EEEE320,Business Adm
200110,Billye,Other,2005-11-06 14:01:41.902206,Mongolia,842.91,9.5,E,60.0,2020-01-22,93.82,2024-03-22 13:03:18.430960,MMRM524,International Business
200111,Major,Female,2009-03-22 09:28:35.312745,Kosovo,822.11,7.9,E,60.0,2018-05-13,97.21,2022-05-20 06:10:30.655287,ARSA506,Business Adm
200112,Tuyet,Male,2001-04-12 10:16:11.500413,Mexico,995.54,9.8,A,80.0,2019-12-10,75.88,2024-12-21 19:11:22.884313,NDAN138,Business Adm
200113,Wallace,Other,2005-10-30 04:58:10.409298,Botswana,965.87,7.7,A,80.0,2020-08-20,97.69,2017-07-14 09:01:22.169481,DAII128,Business Adm
200114,Lashaunda,Female,2003-07-06 16:48:03.175935,Haiti,744.46,7.4,H,45.0,2023-07-13,79.59,2020-06-27 09:57:52.337727,SINS723,Civil Engg
200115,Arnoldo,Female,2001-01-25 00:14:23.678823,Denmark,586.97,7.6,J,35.0,2020-05-06,74.92,2018-05-08 23:01:56.827997,NSTN763,Electrical Engg
200116,Jerome,Female,2001-12-17 02:50:48.694723,Panama,760.36,9.9,G,50.0,2015-04-01,93.56,2022-07-02 13:01:20.296992,SNIT746,Civil Engg
200117,Billy,Female,2010-01-29 09:04:52.828278,French Polynesia,815.33,9.3,E,60.0,2022-08-18,81.58,2023-06-19 12:56:59.099411,MMAS584,Linguistics
200118,Jeremiah,Other,2010-11-12 23:08:35.266097,Brunei,961.19,5.2,J,35.0,2024-07-05,86.79,2025-07-23 07:26:36.335702,SIII702,Environmental Sc
200119,Loida,Female,2006-07-04 22:47:00.251039,Nicaragua,561.5,6.9,J,35.0,2016-08-04,90.62,2018-12-27 02:04:02.753424,NTNT740,Linguistics
200120,Cecil,Other,2004-06-24 10:38:28.164508,Dominican Republic,520.04,9.1,J,35.0,2017-01-27,84.98,2023-10-04 16:51:02.664407,NIIT789,Civil Engg
200121,Tandy,Male,2005-07-31 20:32:10.171863,U.S. Outlying Islands,654.61,8.5,J,35.0,2017-10-07,78.78,2022-01-02 17:01:54.251578,TSST739,Arts
200122,Elwood,Other,2008-06-12 05:11:30.091662,Montserrat,862.65,8.5,C,70.0,2016-06-14,95.13,2015-05-06 20:46:59.881499,REEU380,Finance
200123,Crissy,Female,2002-05-15 04:26:51.859974,Ceuta & Melilla,979.15,8.3,A,80.0,2016-07-14,74.59,2021-11-20 01:57:44.902925,NADD129,Finance
200124,Margaretta,Female,2004-05-13 04:54:09.867450,Myanmar,538.9,7.8,J,35.0,2016-10-16,98.34,2019-01-11 19:26:38.949931,TTNN708,Linguistics
200125,Irvin,Other,2006-06-08 19:57:12.407445,Kazakhstan,865.89,7.7,C,70.0,2025-09-09,77.62,2024-03-06 01:55:01.868775,EUUE400,Civil Engg
200126,Marco,Female,2001-01-01 02:22:47.786802,Bermuda,579.89,8.3,J,35.0,2016-01-17,72.13,2023-03-09 15:59:15.718103,SINN727,Philosophy
200127,Danika,Male,2007-12-08 01:18:33.547290,Luxembourg,742.1,9.7,H,45.0,2018-06-14,71.9,2024-10-02 13:27:44.445567,NNTN750,Aerospace Engg
200128,Douglass,Female,2010-05-22 13:25:52.570884,Kuwait,920.67,5.2,J,35.0,2022-04-07,74.99,2024-07-14 06:17:47.010941,ITIT785,Environmental Sc
200129,Leena,Other,2004-07-21 22:04:08.205154,Gambia,681.06,7.2,J,35.0,2015-07-24,91.84,2023-08-30 23:11:19.194214,TNTS742,Arts
200130,Krystin,Female,2010-02-19 16:34:25.808643,Morocco,809.91,9.4,E,60.0,2023-08-04,86.93,2019-01-08 19:45:14.299985,MARA580,Electrical Engg
200131,Jerlene,Female,2010-02-18 13:08:51.852721,St. Helena,836.41,6.8,G,50.0,2023-07-02,72.19,2015-05-18 04:35:28.263468,NTSI749,Arts
200132,Cleo,Female,2010-11-29 07:51:00.755411,Tuvalu,608.95,6.8,J,35.0,2025-10-26,98.4,2022-12-24 10:41:21.132538,NSIT704,Electrical Engg
200133,Ricki,Male,2009-03-13 03:12:43.408280,Vietnam,959.15,5.7,J,35.0,2025-10-15,98.55,2018-08-22 17:21:17.513390,SIIT717,Linguistics
200134,Ed,Male,2007-09-24 10:18:32.673965,Canary Islands,903.28,5.3,J,35.0,2023-11-25,90.52,2021-05-11 07:00:17.597376,NTST713,Aerospace Engg
200135,Rene,Female,2010-09-14 14:01:08.338982,Mozambique,670.88,9.4,I,40.0,2023-05-03,77.02,2024-04-18 04:45:28.321249,INTN766,International Business
200136,Jenise,Female,2003-02-14 19:09:58.392829,Monaco,973.52,6.4,H,45.0,2022-11-15,91.87,2024-02-14 00:09:30.527272,TSIN788,Aerospace Engg
200137,Reed,Other,2003-01-30 20:50:55.005537,Czech Republic,699.35,5.4,J,35.0,2018-11-24,98.05,2020-11-04 07:21:24.444307,INTI733,Finance
200138,Ian,Female,2005-01-14 02:55:25.050557,Indonesia,540.61,5.8,J,35.0,2016-09-22,78.7,2016-07-16 01:50:43.270650,NSIT741,Journalism
200139,Queenie,Other,2010-01-16 11:57:58.808116,Faroe Islands,812.14,5.8,J,35.0,2020-08-03,85.0,2025-02-09 15:09:42.939282,ISSI739,Civil Engg
200140,Barbera,Female,2003-02-08 13:18:20.577703,Estonia,717.75,6.3,H,45.0,2015-10-08,96.29,2020-08-21 19:56:44.488431,IISS780,International Business
200141,Santo,Female,2008-07-06 21:02:48.462674,Northern Mariana Islands,534.31,5.8,J,35.0,2020-10-09,73.39,2015-01-29 18:47:31.326225,NNTT773,Electrical Engg
200142,Samual,Female,2004-04-18 21:22:02.886951,Finland,950.66,5.9,J,35.0,2023-09-01,89.91,2021-04-17 09:03:46.242289,NIIN708,Computer Engg
200143,Angeles,Female,2001-04-18 01:51:22.949278,Liberia,960.34,6.0,J,35.0,2018-10-23,84.24,2020-02-24 06:55:29.798521,ITTI722,Philosophy
200144,Tonette,Male,2006-10-21 14:11:35.123782,Kenya,647.17,5.2,J,35.0,2025-03-22,87.11,2021-07-12 00:03:24.939882,NTST747,Business Adm
200145,Michal,Male,2010-03-14 22:05:56.132547,Wallis & Futuna,531.38,6.9,J,35.0,2023-05-14,85.98,2019-04-17 04:46:45.569547,NSNS727,Electrical Engg
200146,Jarvis,Female,2002-06-30 23:22:49.142281,Guatemala,756.66,8.3,G,50.0,2022-06-14,87.81,2024-02-05 21:13:32.064486,INTN785,Linguistics
200147,Lawerence,Female,2001-07-11 22:03:48.378756,Niue,561.45,8.6,J,35.0,2019-12-02,95.73,2017-01-18 09:50:31.722906,TNTS762,Journalism
200148,Arnulfo,Male,2007-05-16 11:42:45.863968,Malta,535.49,9.2,J,35.0,2022-10-30,79.33,2016-10-14 00:41:12.400157,ISNI783,Civil Engg
200149,Felipe,Other,2004-01-08 21:05:22.909858,Oman,681.89,8.9,J,35.0,2021-06-22,88.57,2021-08-24 16:23:48.184063,TTST791,Civil Engg
200150,Fabian,Other,2009-03-23 06:05:13.697419,Kiribati,540.92,9.8,J,35.0,2017-11-11,96.98,2020-09-28 15:39:05.325330,TITS762,Electrical Engg
200151,Efrain,Male,2002-05-21 14:06:30.347582,Congo - Kinshasa,688.29,7.4,J,35.0,2020-11-05,73.57,2020-12-23 10:34:27.917874,NIII713,Civil Engg
200152,Coletta,Female,2000-05-16 20:00:57.811028,Bolivia,886.99,7.1,D,65.0,2023-04-27,92.51,2015-03-29 20:50:33.970220,NNAA463,Arts
200153,Assunta,Male,2010-01-19 23:20:13.297284,Liechtenstein,550.68,6.0,J,35.0,2022-02-20,78.82,2016-12-16 14:50:39.885548,INIS722,Finance
200154,Marshall,Male,2009-03-17 10:13:34.368948,Lebanon,689.83,5.3,J,35.0,2020-11-08,70.29,2020-02-21 10:18:28.673505,TTNI753,Linguistics
200155,Toney,Male,2008-05-06 12:05:04.415020,Australia,845.33,8.5,E,60.0,2024-01-11,92.53,2023-10-15 21:37:32.912062,RRSS562,Finance
200156,Elizbeth,Other,2002-06-17 22:52:57.372557,New Caledonia,654.67,6.9,J,35.0,2025-01-19,96.9,2017-06-22 05:02:25.928094,SIII763,Philosophy
200157,Bertram,Other,2008-05-19 03:29:25.592618,Pakistan,842.71,9.8,E,60.0,2017-06-11,87.1,2019-11-26 12:54:58.486318,MRAM547,Electrical Engg
200158,Hilma,Male,2000-07-15 15:56:59.223948,Belgium,917.53,9.3,B,78.0,2022-06-29,97.11,2016-03-22 21:45:52.882239,REMA273,Arts
200159,Dalton,Male,2003-08-05 08:46:11.585222,U.S. Virgin Islands,958.49,5.2,J,35.0,2021-10-26,72.29,2015-07-20 20:58:02.019492,TSIT759,Business Adm
200160,Verena,Female,2008-03-11 11:23:32.353654,Eritrea,655.12,7.5,J,35.0,2025-02-04,72.99,2024-02-22 17:54:46.778535,SITT770,Aerospace Engg
